id,name,latitude,longitude
1,Warehouse Geiranger,62.10079462430206,7.205579555939089
2,Warehouse Dombas,62.075845280708904, 9.128097417411277
3,Warehouse Geilo,60.56243007143339,8.227226408911454
4,Warehouse Otta,61.74589663947818,9.550338208616648
5,Warehouse Trondheim,63.430471552926434,10.39504759070211
6,Warehouse Gjøvik,60.796077365320485,10.693235846601736
7,Warehouse Ålesund,62.47347631881581,6.129934197362874
8,Warehouse Bergen,60.39070635805601,5.304947073595209
9,Warehouse Kristiansand,58.16407185968363,8.007010319812908
10,Warehouse Oslo,59.914297837720504,10.752034252995712
11,Warehouse Stavanger,58.969845516586396,5.732757701227234
12,Warehouse Fredrikstad,59.220101452402346,10.93418864610168
13,Warehouse Kristiansund,63.145138926285995,7.739295167012074
14,Warehouse Røros,62.59473432356741,11.349823037388159
15,Warehouse Oppdal,62.629453075808854,9.613932046370994
16,Warehouse Larvik,59.05647818100067,10.028599977497459
17,Warehouse Drammen,59.74155865933415,10.208927148363873
18,Warehouse Haugesund,59.448972620560035,5.300680894558049
19,Warehouse Florø,61.62456061766031,5.04204364348902
20,Warehouse Kongsvinger,60.23720242971917,11.963849083294182
